Id	lon	lat
AUHT6624	-86.0536	30.5365
FHSM11050	-95.09689	37.99593
FHSM11062	-98.31319	38.62943
FHSM13103	-94.94588	38.91939
FHSM13277	-94.80845	37.64727
FHSM13461	-93.84528	35.66157
FHSM13563	-95.06059	34.82143
FHSM16526	-98.697	40.4666
FHSM16527	-99.37649	40.66428
FHSM16530	-99.1983	40.624881
FHSM9042	-101.86253	39.7412
FMNH282783	-87.367336	41.44061
MVZ137535	-78.0206	33.9214
MVZ137537	-78.5793	35.7474
UCM68793	-103.120366	38.090948
UMMZ21716(0-5)	-83.452948	43.29311
UTEP19951	-86.18157	31.0951
UTEP21668	-99.96187	35.6143
UTEP21669	-99.96178	35.6143
CAS214323	-83.34075	29.6768889
CAS210988	-82.329806	28.838028
LACM405	-82.42038	28.05257
LSUH18938	-92.524465	31.883707
UTEP19949	-86.18937	31.09135
UTEP19952	-88.67345	31.35252
AMNH104629	-98.137144	27.211995
LSUH21201	-93.14349	32.344494
OCGR12740	-96.86561	33.89288
OCGR4952	-96.00281	34.51229
OCGR7048	-99.68023	35.87393
UTEP20927	-91.89255	35.53523
UTEP21736	-100.42252	35.51068
