State,County,LAT,LON,N,Catalogue Number
AL,Geneva,31.0951,-86.18157,1,UTEP19951
,Geneva,31.09135,-86.18937,1,UTEP19949
AR,Franklin,35.66157,-93.84528,1,FHSM13461
,Cleburne,35.53523,-91.89255,1,UTEP20927
CO,Bent,38.090948,-103.120366,1,UCM68793
FL,Walton,30.5365,-86.0536,1,AUHT6624
,Dixie,29.6768889,-83.34075,1,CAS214323
,Citrus,28.838028,-82.329806,1,CAS210988
,Hillsborough,28.05257,-82.42038,1,LACM405
IN,Lake,41.44061,-87.367336,1,FMNH282783
KS,Allen,37.99593,-95.09689,1,FHSM11050
,Ellsworth,38.62943,-98.31319,1,FHSM11062
,Johnson,38.91939,-94.94588,1,FHSM13103
,Crawford,37.64727,-94.80845,1,FHSM13277
,Cheyenne,39.7412,-101.86253,1,FHSM9042
LA,Winn,31.883707,-92.524465,1,LSUH18938
,Bienville,32.344494,-93.14349,1,LSUH21201
MI,Tuscola,43.29311,-83.452948,6,UMMZ217160-5
MS,Greene,31.35252,-88.67345,1,UTEP19952
NC,Brunswick,33.9214,-78.0206,1,MVZ137535
,Wake,35.7474,-78.5793,1,MVZ137537
NE,Adams,40.4666,-98.697,1,FHSM16526
,Phelps,40.66428,-99.37649,1,FHSM16527
,Phelps,40.624881,-99.1983,1,FHSM16530
OK,Latimer,34.82143,-95.06059,1,FHSM13563
,Roger Mills,35.6143,-99.96187,1,UTEP21668
,Roger Mills,35.6143,-99.96178,1,UTEP21669
,Marshall,33.89288,-96.86561,1,OCGR12740
,Atoka,34.51229,-96.00281,1,OCGR4952
,Ellis,35.87393,-99.68023,1,OCGR7048
TX,Brooks,27.211995,-98.137144,1,AMNH104629
,Wheeler,35.51068,-100.42252,1,UTEP21736
